,Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,ScoreDiff,RushAvgOff,PassCompRateOff,PassYardsAttOff,RushAvgDef,PassCompRateDef,PassYardsAttDef
1227,11/16/2013,S-M-U,38,24,107,52,33,353,0,Connecticut,21,34,158,43,25,227,2,17,4.46,0.63,6.79,4.65,0.58,5.28
1228,11/16/2013,San Diego State,28,39,234,34,17,265,0,Hawaii,21,47,161,37,18,194,1,7,6.0,0.5,7.79,3.43,0.49,5.24
1231,11/16/2013,South Carolina,19,35,164,28,14,213,0,Florida,14,41,200,14,10,107,1,5,4.69,0.5,7.61,4.88,0.71,7.64
1233,11/16/2013,Southern Cal,20,27,23,37,25,288,0,Stanford,17,34,205,26,15,132,2,3,0.85,0.68,7.78,6.03,0.58,5.08
1244,11/16/2013,U-C-F,39,36,253,40,27,404,0,Temple,36,24,136,45,26,382,1,3,7.03,0.68,10.1,5.67,0.58,8.49
1245,11/16/2013,UL-Lafayette,35,46,261,16,10,234,0,Georgia State,21,39,183,44,26,298,1,14,5.67,0.62,14.62,4.69,0.59,6.77
1246,11/16/2013,UTEP,33,53,327,7,3,80,0,Florida Intl,10,31,95,24,9,105,0,23,6.17,0.43,11.43,3.06,0.38,4.38
1248,11/16/2013,Vanderbilt,22,37,116,25,20,197,0,Kentucky,6,40,142,28,14,120,4,16,3.14,0.8,7.88,3.55,0.5,4.29
1250,11/16/2013,Washington State,24,27,101,53,39,319,1,Arizona,17,45,195,38,26,200,0,7,3.74,0.74,6.02,4.33,0.68,5.26
1253,11/16/2013,Wisconsin,51,50,554,15,7,122,0,Indiana,3,30,102,30,12,122,1,48,11.08,0.47,8.13,3.4,0.4,4.07
1255,11/19/2013,Buffalo,44,53,311,37,23,206,1,Miami-Ohio,7,34,135,20,5,65,1,37,5.87,0.62,5.57,3.97,0.25,3.25
1256,11/19/2013,Kent State,44,42,312,33,20,225,0,Ohio,13,34,69,29,12,135,1,31,7.43,0.61,6.82,2.03,0.41,4.66
1259,11/20/2013,Northern Illinois,35,55,364,22,17,202,0,Toledo,17,46,184,30,17,235,3,18,6.62,0.77,9.18,4.0,0.57,7.83
1262,11/21/2013,Nevada-Las Vegas,41,58,330,18,15,141,0,Air Force,21,55,228,13,4,70,0,20,5.69,0.83,7.83,4.15,0.31,5.38
1263,11/21/2013,Rice,37,61,328,20,10,139,0,U-A-B,34,37,138,33,13,195,0,3,5.38,0.5,6.95,3.73,0.39,5.91
1266,11/21/2013,U-C-F,41,44,118,31,22,334,0,Rutgers,17,19,69,43,15,152,1,24,2.68,0.71,10.77,3.63,0.35,3.53
1267,11/22/2013,Navy,58,62,432,6,4,46,0,San Jose State,52,39,160,56,42,440,1,6,6.97,0.67,7.67,4.1,0.75,7.86
1269,11/23/2013,Alabama,49,32,251,20,15,184,0,Chattanooga,0,35,93,15,10,82,1,49,7.84,0.75,9.2,2.66,0.67,5.47
1270,11/23/2013,Arizona,42,65,304,22,19,178,0,Oregon,16,39,198,41,27,308,2,26,4.68,0.86,8.09,5.08,0.66,7.51
1271,11/23/2013,Arizona State,38,50,223,27,20,225,0,U.C.L.A.,33,41,151,26,18,253,1,5,4.46,0.74,8.33,3.68,0.69,9.73
1273,11/23/2013,Arkansas State,35,45,138,19,14,152,0,Georgia State,33,40,184,26,14,248,0,2,3.07,0.74,8.0,4.6,0.54,9.54
1276,11/23/2013,Boston College,29,40,254,15,6,120,1,Maryland,26,34,100,31,19,178,0,3,6.35,0.4,8.0,2.94,0.61,5.74
1277,11/23/2013,Bowling Green,58,46,296,26,13,264,1,Eastern Michigan,7,26,61,18,1,4,2,51,6.43,0.5,10.15,2.35,0.06,0.22
1280,11/23/2013,Central Michigan,37,36,67,21,13,231,0,Massachusetts,0,39,128,16,6,45,3,37,1.86,0.62,11.0,3.28,0.38,2.81
1281,11/23/2013,Cincinnati,24,40,172,51,30,401,2,Houston,17,31,33,41,18,245,0,7,4.3,0.59,7.86,1.06,0.44,5.98
1282,11/23/2013,Clemson,52,43,208,32,24,350,0,The Citadel,6,57,176,5,1,-4,0,46,4.84,0.75,10.94,3.09,0.2,-0.8
1285,11/23/2013,Connecticut,28,41,124,19,8,111,1,Temple,21,33,92,46,26,280,1,7,3.02,0.42,5.84,2.79,0.57,6.09
1286,11/23/2013,Duke,28,35,121,32,25,257,0,Wake Forest,21,40,124,27,12,124,1,7,3.46,0.78,8.03,3.1,0.44,4.59
1287,11/23/2013,East Carolina,42,40,170,31,24,275,0,No Carolina State,28,39,129,44,28,312,0,14,4.25,0.77,8.87,3.31,0.64,7.09
1290,11/23/2013,Florida Atlantic,55,44,256,23,16,329,1,New Mexico State,10,43,142,27,13,136,0,45,5.82,0.7,14.3,3.3,0.48,5.04
1292,11/23/2013,Florida State,80,40,336,39,23,309,1,Idaho,14,35,59,45,21,286,4,66,8.4,0.59,7.92,1.69,0.47,6.36
1293,11/23/2013,Fresno State,69,43,277,41,29,543,0,New Mexico,28,40,168,13,8,157,0,41,6.44,0.71,13.24,4.2,0.62,12.08
1294,11/23/2013,Georgia,59,40,230,42,31,372,1,Kentucky,17,30,62,17,10,149,0,42,5.75,0.74,8.86,2.07,0.59,8.76
1296,11/23/2013,Georgia Tech,66,52,428,6,2,48,0,Alabama A+M,7,30,47,31,14,205,1,59,8.23,0.33,8.0,1.57,0.45,6.61
1300,11/23/2013,Illinois,20,37,123,31,24,257,2,Purdue,16,29,120,29,20,163,1,4,3.32,0.77,8.29,4.14,0.69,5.62
1302,11/23/2013,Iowa,24,44,168,30,19,239,3,Michigan,21,29,60,28,13,98,0,3,3.82,0.63,7.97,2.07,0.46,3.5
1303,11/23/2013,Iowa State,34,43,202,20,15,300,1,Kansas,0,41,187,31,11,92,1,34,4.7,0.75,15.0,4.56,0.35,2.97
1307,11/23/2013,Louisiana State,34,55,324,20,11,193,0,Texas A+M,10,18,75,41,16,224,2,24,5.89,0.55,9.65,4.17,0.39,5.46
1309,11/23/2013,Louisville,24,40,122,36,26,220,0,Memphis,17,35,135,24,11,144,1,7,3.05,0.72,6.11,3.86,0.46,6.0
1310,11/23/2013,Marshall,48,31,270,34,17,288,0,Florida Intl,10,45,97,29,15,167,1,38,8.71,0.5,8.47,2.16,0.52,5.76
1314,11/23/2013,Miami-Florida,45,25,90,27,13,214,1,Virginia,26,46,243,45,23,240,3,19,3.6,0.48,7.93,5.28,0.51,5.33
1316,11/23/2013,Michigan State,30,40,171,24,16,293,0,Northwestern,6,26,80,46,27,239,3,24,4.28,0.67,12.21,3.08,0.59,5.2
1317,11/23/2013,Middle Tennessee,42,45,246,25,11,172,0,Southern Miss,21,32,82,47,27,289,2,21,5.47,0.44,6.88,2.56,0.57,6.15
1320,11/23/2013,Mississippi State,24,37,191,32,21,297,1,Arkansas,17,43,225,17,10,114,1,7,5.16,0.66,9.28,5.23,0.59,6.71
1321,11/23/2013,Missouri,24,51,260,26,15,225,1,Mississippi,10,29,126,43,27,252,1,14,5.1,0.58,8.65,4.34,0.63,5.86
1322,11/23/2013,Nebraska,23,41,168,36,21,192,0,Penn State,20,44,170,33,16,217,1,3,4.1,0.58,5.33,3.86,0.48,6.58
1326,11/23/2013,North Carolina,80,40,312,28,21,409,0,Old Dominion,20,38,225,34,15,146,0,60,7.8,0.75,14.61,5.92,0.44,4.29
1329,11/23/2013,Notre Dame,23,47,235,28,15,235,1,Brigham Young,13,47,247,36,21,168,1,10,5.0,0.54,8.39,5.26,0.58,4.67
1330,11/23/2013,Ohio State,42,39,311,17,11,160,1,Indiana,14,39,122,53,32,320,0,28,7.97,0.65,9.41,3.13,0.6,6.04
1331,11/23/2013,Oklahoma,41,52,301,21,14,171,1,Kansas State,31,22,24,29,17,348,2,10,5.79,0.67,8.14,1.09,0.59,12.0
1332,11/23/2013,Oklahoma State,49,46,154,27,21,440,0,Baylor,17,36,94,48,28,359,0,32,3.35,0.78,16.3,2.61,0.58,7.48
1336,11/23/2013,Pittsburgh,17,27,21,41,28,218,1,Syracuse,16,39,148,28,18,159,0,1,0.78,0.68,5.32,3.79,0.64,5.68
1338,11/23/2013,S-M-U,16,30,51,41,28,229,2,South Florida,6,22,42,34,19,217,2,10,1.7,0.68,5.59,1.91,0.56,6.38
1339,11/23/2013,San Diego State,34,45,61,38,23,288,1,Boise State,31,34,95,36,21,202,2,3,1.36,0.61,7.58,2.79,0.58,5.61
1340,11/23/2013,South Alabama,36,44,217,27,16,207,1,UL-Monroe,14,39,71,28,19,203,0,22,4.93,0.59,7.67,1.82,0.68,7.25
1341,11/23/2013,South Carolina,70,45,352,27,20,287,0,Coastal Carolina,10,27,72,35,18,222,2,60,7.82,0.74,10.63,2.67,0.51,6.34
1343,11/23/2013,Southern Cal,47,41,243,30,20,206,0,Colorado,29,31,124,33,17,188,1,18,5.93,0.67,6.87,4.0,0.52,5.7
1345,11/23/2013,Stanford,63,35,186,35,24,417,0,California,13,31,73,35,19,310,1,50,5.31,0.69,11.91,2.35,0.54,8.86
1351,11/23/2013,Texas-San Antonio,21,31,184,49,30,274,1,North Texas,13,28,105,46,26,229,1,8,5.94,0.61,5.59,3.75,0.57,4.98
1352,11/23/2013,Tulane,45,43,277,25,16,205,0,UTEP,3,33,49,27,16,183,1,42,6.44,0.64,8.2,1.48,0.59,6.78
1353,11/23/2013,Tulsa,24,56,248,22,12,120,3,Louisiana Tech,14,36,141,43,22,195,4,10,4.43,0.55,5.45,3.92,0.51,4.53
1358,11/23/2013,Utah State,13,48,148,18,8,43,0,Colorado State,0,34,38,39,16,147,2,13,3.08,0.44,2.39,1.12,0.41,3.77
1359,11/23/2013,Vanderbilt,14,31,90,31,24,195,1,Tennessee,10,45,184,20,11,53,3,4,2.9,0.77,6.29,4.09,0.55,2.65
1362,11/23/2013,Washington,69,58,530,24,15,162,0,Oregon State,27,22,106,49,26,308,3,42,9.14,0.62,6.75,4.82,0.53,6.29
1363,11/23/2013,Washington State,49,18,90,62,39,488,0,Utah,37,35,134,46,21,347,2,12,5.0,0.63,7.87,3.83,0.46,7.54
1364,11/23/2013,Western Kentucky,37,46,321,32,20,152,0,Texas State,7,29,21,30,15,109,4,30,6.98,0.62,4.75,0.72,0.5,3.63
1365,11/23/2013,Wisconsin,20,45,197,26,16,127,1,Minnesota,7,32,102,23,7,83,0,13,4.38,0.62,4.88,3.19,0.3,3.61
1366,11/23/2013,Wyoming,59,50,295,48,29,498,0,Hawaii,56,42,125,50,37,499,1,3,5.9,0.6,10.38,2.98,0.74,9.98
1367,11/26/2013,Northern Illinois,33,54,425,17,5,39,0,Western Michigan,14,35,93,32,15,163,0,19,7.87,0.29,2.29,2.66,0.47,5.09
1370,11/28/2013,Mississippi State,17,43,99,39,19,197,1,Mississippi,10,35,117,43,28,201,3,7,2.3,0.49,5.05,3.34,0.65,4.67
1371,11/28/2013,Texas,41,61,281,20,11,182,0,Texas Tech,16,28,94,52,31,302,1,25,4.61,0.55,9.1,3.36,0.6,5.81
1373,11/29/2013,Akron,31,35,85,30,18,259,0,Toledo,29,45,230,33,16,158,1,2,2.43,0.6,8.63,5.11,0.48,4.79
1375,11/29/2013,Ball State,55,31,140,33,27,445,0,Miami-Ohio,14,51,138,27,11,143,1,41,4.52,0.82,13.48,2.71,0.41,5.3
1376,11/29/2013,Bowling Green,24,48,260,26,11,230,1,Buffalo,7,24,15,45,21,221,1,17,5.42,0.42,8.85,0.62,0.47,4.91
1378,11/29/2013,Central Michigan,42,39,295,14,9,92,1,Eastern Michigan,10,38,193,29,15,151,1,32,7.56,0.64,6.57,5.08,0.52,5.21
1381,11/29/2013,Florida Atlantic,21,42,179,20,11,252,1,Florida Intl,6,34,96,28,11,94,0,15,4.26,0.55,12.6,2.82,0.39,3.36
1384,11/29/2013,Houston,34,30,120,42,25,245,2,S-M-U,0,34,83,52,27,212,3,34,4.0,0.6,5.83,2.44,0.52,4.08
1385,11/29/2013,Iowa,38,44,155,17,9,126,0,Nebraska,17,37,89,37,19,199,2,21,3.52,0.53,7.41,2.41,0.51,5.38
1386,11/29/2013,Louisiana State,31,38,238,29,18,232,1,Arkansas,27,34,182,29,19,178,1,4,6.26,0.62,8.0,5.35,0.66,6.14
1387,11/29/2013,Marshall,59,53,267,28,17,272,1,East Carolina,28,29,149,52,29,291,3,31,5.04,0.61,9.71,5.14,0.56,5.6
1389,11/29/2013,Miami-Florida,41,34,180,28,17,296,0,Pittsburgh,31,33,220,43,24,281,1,10,5.29,0.61,10.57,6.67,0.56,6.53
1392,11/29/2013,Ohio,51,29,215,30,19,246,1,Massachusetts,23,51,153,19,6,137,3,28,7.41,0.63,8.2,3.0,0.32,7.21
1393,11/29/2013,Oregon,36,45,283,34,17,285,2,Oregon State,35,39,231,47,29,314,1,1,6.29,0.5,8.38,5.92,0.62,6.68
1397,11/29/2013,San Jose State,62,45,159,46,38,577,0,Fresno State,52,16,127,51,38,519,1,10,3.53,0.83,12.54,7.94,0.75,10.18
1401,11/29/2013,Troy,42,35,164,27,21,297,0,Texas State,28,38,233,31,11,192,1,14,4.69,0.78,11.0,6.13,0.35,6.19
1402,11/29/2013,U-C-F,23,30,77,27,17,219,2,South Florida,20,33,83,34,15,211,1,3,2.57,0.63,8.11,2.52,0.44,6.21
1403,11/29/2013,Washington,27,53,224,20,15,181,1,Washington State,17,23,44,59,32,282,2,10,4.23,0.75,9.05,1.91,0.54,4.78
