,Week,Team,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,ScoreDiff,RushAttDiff,RushYdsDiff,PassAttDiff,PassCompDiff,PassYdsDiff,PassIntDiff,FumblesDiff
80,09/02/2000,Rutgers,34.0,32,46,44,27,323,1,0,Villanova,21.0,23,57,49,29,285,2,1,13.0,9,-11,-5,-2,38,-1,-1
81,09/02/2000,South Carolina,31.0,39,204,26,14,149,1,2,New Mexico State,0.0,46,121,19,8,76,2,1,31.0,-7,83,7,6,73,-1,1
82,09/02/2000,San Diego State,7.0,28,100,57,24,219,1,0,Arizona State,10.0,40,110,42,18,160,1,0,-3.0,-12,-10,15,6,59,0,0
83,09/02/2000,San Jose State,13.0,29,193,37,14,153,1,0,Nebraska,49.0,60,505,13,5,91,3,0,-36.0,-31,-312,24,9,62,-2,0
84,09/02/2000,Southern Miss,16.0,31,71,30,22,232,0,2,Tennessee,19.0,40,145,25,13,125,1,0,-3.0,-9,-74,5,9,107,-1,2
85,09/02/2000,Southern Methodist,31.0,44,151,25,14,164,1,0,Kansas,17.0,32,81,42,16,210,0,3,14.0,12,70,-17,-2,-46,1,-3
86,09/02/2000,Stanford,24.0,38,118,28,17,256,0,1,Washington State,10.0,36,91,36,20,161,2,0,14.0,2,27,-8,-3,95,-2,1
87,09/02/2000,UL-Lafayette,14.0,44,150,24,9,90,0,1,Sam Houston State,21.0,35,98,30,17,151,1,1,-7.0,9,52,-6,-8,-61,-1,0
88,09/02/2000,Syracuse,63.0,50,304,9,6,82,1,0,Buffalo,7.0,33,102,36,16,168,2,3,56.0,17,202,-27,-10,-86,-1,-3
89,09/02/2000,Temple,17.0,58,231,27,17,188,0,2,Navy,6.0,30,73,13,6,75,0,0,11.0,28,158,14,11,113,0,2
90,09/02/2000,Tennessee,19.0,40,145,25,13,125,1,0,Southern Miss,16.0,31,71,30,22,232,0,2,3.0,9,74,-5,-9,-107,1,-2
91,09/02/2000,Toledo,24.0,54,245,28,18,140,0,0,Penn State,6.0,27,30,24,10,136,0,1,18.0,27,215,4,8,4,0,-1
92,09/02/2000,Texas Tech,38.0,28,77,57,37,505,1,0,Utah State,16.0,28,147,35,16,153,1,2,22.0,0,-70,22,21,352,0,-2
93,09/02/2000,Tulane,20.0,35,120,38,17,204,1,0,Mississippi,49.0,35,118,31,19,306,0,0,-29.0,0,2,7,-2,-102,1,0
94,09/02/2000,Tulsa,9.0,27,19,38,17,214,0,1,North Carolina,30.0,44,173,30,16,242,0,2,-21.0,-17,-154,8,1,-28,0,-1
95,09/02/2000,Texas A & M,10.0,37,90,28,16,165,1,0,Notre Dame,24.0,49,194,16,10,133,0,0,-14.0,-12,-104,12,6,32,1,0
96,09/02/2000,U.C.L.A.,35.0,57,171,27,15,225,1,0,Alabama,24.0,30,146,30,11,119,1,2,11.0,27,25,-3,4,106,0,-2
97,09/02/2000,Utah,3.0,39,60,51,21,310,2,3,Arizona,17.0,39,135,15,3,11,0,0,-14.0,0,-75,36,18,299,2,3
98,09/02/2000,Texas-El Paso,14.0,38,125,42,21,217,2,5,Oklahoma,55.0,33,122,39,19,287,1,2,-41.0,5,3,3,2,-70,1,3
99,09/02/2000,Utah State,16.0,28,147,35,16,153,1,2,Texas Tech,38.0,28,77,57,37,505,1,0,-22.0,0,70,-22,-21,-352,0,2
100,09/02/2000,Vanderbilt,30.0,32,56,25,18,307,0,0,"Miami, Ohio",33.0,28,71,42,24,358,1,1,-3.0,4,-15,-17,-6,-51,-1,-1
101,09/02/2000,Virginia,35.0,42,270,23,13,217,1,0,Brigham Young,38.0,34,93,42,34,447,2,1,-3.0,8,177,-19,-21,-230,-1,-1
102,09/02/2000,Virginia Tech,52.0,48,335,16,9,214,1,3,Akron,23.0,44,162,30,14,248,1,1,29.0,4,173,-14,-5,-34,0,2
103,09/02/2000,Washington,44.0,44,239,31,17,235,1,0,Idaho,20.0,33,145,30,23,256,1,4,24.0,11,94,1,-6,-21,0,-4
104,09/02/2000,Washington State,10.0,36,91,36,20,161,2,0,Stanford,24.0,38,118,28,17,256,0,1,-14.0,-2,-27,8,3,-95,2,-1
105,09/02/2000,Wake Forest,16.0,33,55,21,10,126,2,2,Appalachian State,20.0,50,147,34,19,235,2,2,-4.0,-17,-92,-13,-9,-109,0,0
106,09/02/2000,Wisconsin,19.0,57,156,11,6,96,0,0,Western Michigan,7.0,20,-1,39,20,243,1,1,12.0,37,157,-28,-14,-147,-1,-1
107,09/02/2000,Western Michigan,7.0,20,-1,39,20,243,1,1,Wisconsin,19.0,57,156,11,6,96,0,0,-12.0,-37,-157,28,14,147,1,1
108,09/02/2000,West Virginia,34.0,53,189,19,7,166,0,0,Boston College,14.0,33,79,33,15,127,3,2,20.0,20,110,-14,-8,39,-3,-2
109,09/02/2000,Wyoming,21.0,27,29,36,20,213,1,0,Auburn,35.0,45,177,21,12,266,0,2,-14.0,-18,-148,15,8,-53,1,-2
110,09/09/2000,Air Force,31.0,53,186,16,11,203,0,0,Brigham Young,23.0,26,125,40,18,235,1,2,8.0,27,61,-24,-7,-32,-1,-2
111,09/09/2000,Akron,7.0,39,184,24,8,68,2,0,Central Michigan,17.0,50,171,19,9,173,0,0,-10.0,-11,13,5,-1,-105,2,0
112,09/09/2000,Arkansas State,7.0,21,84,33,21,191,1,0,Oklahoma,45.0,35,208,34,26,325,1,0,-38.0,-14,-124,-1,-5,-134,0,0
113,09/09/2000,Alabama,28.0,42,292,15,6,57,0,0,Vanderbilt,10.0,31,85,26,12,172,0,0,18.0,11,207,-11,-6,-115,0,0
114,09/09/2000,Arizona,17.0,39,57,23,11,137,0,1,Ohio State,27.0,40,101,20,12,240,1,2,-10.0,-1,-44,3,-1,-103,-1,-1
