,Unnamed: 0,Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Site,Line ,ScoreDiff,RushAttDiff,RushYdsDiff,PassAttDiff,PassCompDiff,PassYdsDiff,PassIntDiff,FumblesDiff,season
72,72,08/30/2008,Northwestern,30,42,269,35,23,215,1,1,Syracuse,10,30,122,28,14,103,1,0,H,12,20,12,147,7,9,112,0,1,2008
73,73,08/30/2008,Ohio,20,21,39,41,29,248,1,1,Wyoming,21,40,160,22,14,111,2,0,V,-13.5,-1,-19,-121,19,15,137,-1,1,2008
74,74,08/30/2008,Ohio State,43,43,251,31,21,244,0,1,Youngstown State,0,21,-11,18,12,85,0,1,H, ,43,22,262,13,9,159,0,0,2008
75,75,08/30/2008,Oklahoma,57,46,182,38,31,305,1,0,Chattanooga,2,36,16,17,3,20,0,0,H, ,55,10,166,21,28,285,1,0,2008
76,76,08/30/2008,Oklahoma State,39,42,174,27,20,193,1,0,Washington State,13,34,114,25,12,82,1,0,N,7,26,8,60,2,8,111,0,0,2008
77,77,08/30/2008,Oregon,44,44,256,28,16,240,1,0,Washington,10,43,95,35,17,147,0,1,H,13.5,34,1,161,-7,-1,93,1,-1,2008
78,78,08/30/2008,Penn State,66,43,334,26,19,260,0,0,Coastal Carolina,10,32,52,31,18,198,1,0,H, ,56,11,282,-5,1,62,-1,0,2008
79,79,08/30/2008,Pittsburgh,17,35,129,51,29,264,1,3,Bowling Green,27,28,64,42,26,190,1,0,H,13.5,-10,7,65,9,3,74,0,3,2008
80,80,08/30/2008,San Diego State,27,23,27,45,27,352,2,3,Cal-San Luis Obispo,29,51,263,21,12,220,0,1,H, ,-2,-28,-236,24,15,132,2,2,2008
81,81,08/30/2008,San Jose State,13,24,42,34,26,231,2,1,UC-Davis,10,30,61,34,21,193,2,1,H, ,3,-6,-19,0,5,38,0,0,2008
82,82,08/30/2008,South Florida,56,52,300,19,14,220,1,3,Tennessee-Martin,7,28,59,26,9,38,1,0,H, ,49,24,241,-7,5,182,0,3,2008
83,83,08/30/2008,Southern Cal,52,41,218,37,27,340,1,1,Virginia,7,21,32,35,18,155,1,3,V,19.5,45,20,186,2,9,185,0,-2,2008
84,84,08/30/2008,Southern Miss,51,61,427,22,14,206,2,0,UL-Lafayette,21,43,263,24,11,131,2,2,H,10,30,18,164,-2,3,75,0,-2,2008
85,85,08/30/2008,Syracuse,10,30,122,28,14,103,1,0,Northwestern,30,42,269,35,23,215,1,1,V,-12,-20,-12,-147,-7,-9,-112,0,-1,2008
86,86,08/30/2008,Texas,52,46,232,35,28,271,0,0,Florida Atlantic,10,23,37,39,17,255,1,1,H,24,42,23,195,-4,11,16,-1,-1,2008
87,87,08/30/2008,Texas A+M,14,36,133,27,19,170,2,2,Arkansas State,18,45,255,28,15,160,0,1,H,18.5,-4,-9,-122,-1,4,10,2,1,2008
